Body,Score,ParentId
"<p>The same way you do for String  and Int , you just place different types inside: </p>

<pre><code>Date [] dates = {
    new Date(), 
    new Date()
 };
</code></pre>

<p>Declared an array of size two with two dates.</p>

<p>You can also initialize with null values:</p>

<pre><code> Date [] dates = new Date[2];
</code></pre>

<p>Or add more significant values:</p>

<pre><code> Date [] dates = {
    getDateFromString(""25/11/2009""), 
    getDateFromString(""24/12/2009"")
 };

.... 
public Date getDateFromString( String s ) {
    Date result = ...// parse the string set the value etc. 
    return result;
}
</code></pre>

<p><strong>EDIT</strong></p>

<blockquote>
  <p><em>...but is there anyway you can finish up what you were doing in the getDateFromString method?</em></p>
</blockquote>

<p>Sure, I didn't initially because my point was to show, that you could put anything that is of type ""Date"" there. </p>

<p>You just have to use the <a href=""http://java.sun.com/javase/6/docs/api/java/text/DateFormat.html#parse(java.lang.String)"" rel=""noreferrer"">SimpleDateFormate.parse()</a> method ( inherited from DateFormat class ) </p>

<pre><code>  simpleDateFormatInstance.parse( ""24/12/2009"" ); // returns christmas 2009.
</code></pre>

<p>Here's a complete working sample: </p>

<pre><code>import java.text.SimpleDateFormat;
import java.text.ParseException;
import java.util.Date;
import static java.lang.System.out;

public class DateArrayTest {

    private static final SimpleDateFormat dateFormat 
                   = new SimpleDateFormat(""dd/MM/yyyy"");
    private static final Date invalidDate = new Date(0);


    // test creating a date from a string.
    public static void main( String [] args ) { 
        Date [] randomDates = {
            fromString(""01/01/2010""), // new year
            fromString(""16/09/2010""), // 200 yrs Mex indepence 
            fromString(""21/03/2010""), // uhhmm next spring?
            fromString(""this/should/fail""), // invalid date.
        };

        for( Date date: randomDates ) {
            print( date );
        }
    }

    /**
     * Creates a date from the given string spec. 
     * The date format must be dd/MM/yyyy ie. 
     * 24 december 2009 would be: 24/12/2009
     * @return invalidDate if the format is invalid.
     */
    private static final Date fromString( String spec ) {
        try {
            return dateFormat.parse( spec );
        } catch( ParseException dfe ) {
            return invalidDate;
        }
    }
    private static final void print( Date date ) {
        if( date == invalidDate ) {
            out.println(""Invalid date"");
        } else {
            out.println( dateFormat.format( date ) );
        }
    }
}
</code></pre>
","22","1801044"
"<p>Nice looking solution would be to use a List instead of array in the first place.</p>

<pre><code>List.remove(index)
</code></pre>

<p>If you <em>have</em> to use arrays, two calls to <code>System.arraycopy</code> will most likely be the fastest.</p>

<pre><code>Foo[] result = new Foo[source.length - 1];
System.arraycopy(source, 0, result, 0, index);
if (source.length != index) {
    System.arraycopy(source, index + 1, result, index, source.length - index - 1);
}
</code></pre>

<p>(<code>Arrays.asList</code> is also a good candidate for working with arrays, but it doesn't seem to support <code>remove</code>.)</p>
","15","642897"
"<p>you can use an array of <code>java.util.Date</code> (API docs are <a href=""http://java.sun.com/javase/6/docs/api/java/util/Date.html"" rel=""nofollow noreferrer"">here</a>)</p>

<pre><code>Date[] dates = new Date[] {
    new Date(),
    new Date(),
};
</code></pre>

<p>You can create an array of any object type in java - all reference and primitive types</p>
","4","1801044"
"<p>Use an <code>ArrayList</code>:</p>

<pre><code>alist.remove(1); //removes the element at position 1
</code></pre>
","-4","642897"
"<p>There is no such thing as an ""empty"" element in a Java array. If the array's length is at least six, then element 5 exists and it has a value. If you have not assigned anything else to that location, then it will have the value zero, just like an object's uninitialized field would have.</p>

<p>If it is an array of <code>Object</code> descendants, then you can check whether the element is equal to <code>null</code>.</p>
","8","286161"
"<p><code>Iterable &lt;T&gt;</code></p>
","4","362367"
"<p>Or you could use the Collections API and Calendar class,</p>

<pre><code>import java.util.*;

List&lt;Calendar&gt; dates = new ArrayList&lt;Calendar&gt;(5); // initial size
dates.add( Calendar.getInstance() );
</code></pre>
","1","1801044"
"<p>I hope you use the java collection / java commons collections!</p>

<p>With an java.util.ArrayList you can do things like the following: </p>

<pre><code>yourArrayList.remove(someObject);

yourArrayList.add(someObject);
</code></pre>
","0","642897"
"<p>You can consider (and this is not reality, but it sort of works this way) that primitives are something like this (I do get to reality later on... so keep reading):</p>

<p>int.7, int.42 (won't compile) where int is a class (it is not) and 7 and 42 are public static final variables (they are not).</p>

<p>and that Strings are something like this:</p>

<p>String.""Hello"", String.""world"" (won't compile) where String is a class (it is) and ""Hello"" and ""world"" are public static final variables (they are not).</p>

<p>If my fake reality were true you would have to have something like:</p>

<pre><code>// again, won't compile.
public class int
{
    public static final int 7 = new int(7);
    public static final int 42 = new int(42);
    private final ??? data;

    public int(??? val)
    {
        data = val;
    }
}
</code></pre>

<p>and </p>

<pre><code>// also will not compile
public class String
{
    public final String ""Hello"" = new String(""Hello);
    public final String ""world"" = new String(""world);
    private final ??? data;

    public String(final ??? val)
    {
        data = val;
    }
}
</code></pre>

<p>now you make a an array like (still won't compile):</p>

<pre><code>int[] array = new int[] { int.7, int.42 };
String[] array = new String[] {String.""Hello"", String.""world"" };
</code></pre>

<p>In the case of String my alternate reality would be very silly since it is impossible for the String class to know in advance every single possible String (for int it is possible).</p>

<p>So we would get rid of the public static final variables in String and do this instead:</p>

<pre><code>String[] array = new String[] { new String(""Hello""), new String(""world"") };
</code></pre>

<p>Now to reality:</p>

<p>When the java compiler, when it sees ""Hello"" or ""world"" it does something similar to ""new String(""Hello"")"" - it is a bit smarter so that if you have ""Hello"" 20 times in a file that there is only one copy (and some other things too).</p>

<p>When you say:</p>

<pre><code>new int[100]; you get an array of 100 ints all set to 0.
new String[100]; you get an array of 100 Strings all pointing to null.
new Data[100]; you get 100 Dates all pointing to null.
</code></pre>

<p>Since the String and the Date ones are pointing to null you need to allocate a new object for each one.  The reason that you don't have to say ""new"" with String is that the compiler treats is specially.  The reason you do not have to say ""new"" with int is that it is a primitive instead of an object.</p>

<p>So, the easy answer to your question is, you have to allocate a new Date for each element of the array :-)</p>
","0","1801044"
"<p>Are you looking for <code>Iterable&lt;String&gt;</code>?</p>

<pre><code>Iterable&lt;T&gt; &lt;=&gt; IEnumerable&lt;T&gt;
Iterator&lt;T&gt; &lt;=&gt; IEnumerator&lt;T&gt;
</code></pre>
","9","362367"
"<p>Elements in primitive arrays can't be empty.  They'll always get initialized to something (usually <code>0</code> for <code>int</code> arrays, but depends on how you declare the array).</p>

<p>If you declare the array like so (for example):</p>

<pre><code>int [] myArray ;
myArray = new int[7] ;
</code></pre>

<p>then all of the elements will default to <code>0</code>.</p>

<p>An alternative syntax for declaring arrays is</p>

<pre><code>int[] myArray = { 12, 7, 32, 15, 113, 0, 7 };
</code></pre>

<p>where the initial values for an array (of size seven in this case) are given in the curly braces <code>{}</code>.</p>
","21","286161"
"<p>I believe the Java equivalent is <code>Iterable&lt;String&gt;</code>. Although <code>String[]</code> doesn't implement it, you can loop over the elements anyway:</p>

<pre><code>String[] strings = new String[]{""this"", ""that""};
for (String s : strings) {
    // do something
}
</code></pre>

<p>If you really need something that implements <code>Iterable&lt;String&gt;</code>, you can do this:</p>

<pre><code>String[] strings = new String[]{""this"", ""that""};
Iterable&lt;String&gt; stringIterable = Arrays.asList(strings);
</code></pre>
","2","362367"
"<p>So that they get all the benefits thereof:</p>

<ul>
<li>getHashCode()</li>
<li>toString()</li>
</ul>

<p>etc.</p>

<p>And arrays aren't 'primitive', so if they can't be primitive, they must be objects.</p>
","0","2009210"
"<p><a href=""http://java.sun.com/j2se/1.5.0/docs/api/java/lang/System.html#arraycopy(java.lang.Object,%20int,%20java.lang.Object,%20int,%20int)"" rel=""nofollow noreferrer"">Copy</a> your original array into another array, without the element to be removed.</p>

<p>A simplier way to do that is to use a List, Set... and use the remove() method.</p>
","0","642897"
"<p>You have to define what you mean by empty. Depending on the datatype of the array you can decide on the semantics of empty. For example, if you have an array of ints you can decide that 0 is empty. Or if the array is of reference types then you can decide that null is empty. Then you simply check by comparing array[5] == null or array[5] == 0 etc.</p>
","3","286161"
"<p>I'm not sure about the official reason.</p>

<p>However, it makes sense to me that they are objects because operations can be performed on them (such as taking the length) and it made more sense to support these operations as member functions rather than introduce new keywords. Other operations include clone(), the inherited operations of object, etc. Arrays are also hashable and potentially comparable. </p>

<p>This is different from C (and native arrays in C++), where your arrays are essentially pointers to a memory offset. </p>
","0","2009210"
"<p><code>Iterable&lt;String&gt;</code> is the equivalent of <code>IEnumerable&lt;string&gt;</code>.</p>

<p>It would be an odditity in the type system if arrays implemented <code>Iterable</code>. <code>String[]</code> is an instance of <code>Object[]</code>, but <code>Iterable&lt;String&gt;</code> is not an <code>Iterable&lt;Object&gt;</code>. Classes and interfaces cannot multiply implement the same generic interface with different generic arguments.</p>

<p><code>String[]</code> will work just like an <code>Iterable</code> in the enhanced for loop.</p>

<p><code>String[]</code> can easily be turned into an <code>Iterable</code>:</p>

<pre><code>Iterable&lt;String&gt; strs = java.util.Arrays.asList(strArray);
</code></pre>

<p>Prefer collections over arrays (for non-primitives anyway). Arrays of reference types are a bit odd, and are rarely needed since Java 1.5.</p>
","49","362367"
"<p>Swap the item to be removed with the last item, if resizing the array down is not an interest.</p>
","0","642897"
"<p>Primitive arrays (int, float, char, etc) are never ""empty"" (by which I assume you mean ""null""), because primitive array elements can never be null.</p>

<p>By default, an int array usually contains 0 when allocated.  However, I never rely on this (spent too much time writing C code, I guess).</p>

<p>One way is to pick a value that you want to treat as ""uninitialized"".  It could be 0, or -1, or some other value that you're not going to use as a valid value.  Initialize your array to that value after allocating it.</p>

<p>Object arrays (String[] and any array of objects that extend Object), <em>can</em> have null elements, so you could create an Integer[] array and initialize it to nulls. I think I like that idea better than using a magic value as described above.</p>
","2","286161"
"<p>Having arrays be objects means that you can do operations with them (e.g., someArray.count('foo')) instead of just doing it against them (e.g., count(someArray, 'foo')), which leads to more natural syntax.</p>
","3","2009210"
"<p>Another point is that objects are mutable and are passed by reference. In arrays there aren't any fields/methods that you can use to change ""properties"" of the array, but you sure can mutate the element values. And the benefits of passing arrays by reference are pretty obvious (though functional programmers probably wish Java had immutable lists passed by value). </p>

<p>Edit: forgot to mention. In the period before autoboxing, it was helpful to be able to store arrays in collections, write them to ObjectStreams etc.</p>
","1","2009210"
"<p>Create a constant to define the empty value, eg:</p>

<pre><code>private static final int EMPTY = -1;
</code></pre>

<p>then create the array like this:</p>

<pre><code>int[] myArray = new int[size];
Arrays.fill(myArray, EMPTY);
</code></pre>

<p>then to check if an element is 'empty', do this:</p>

<pre><code>if (myArray[i] == EMPTY)
{
   //element i is empty
}
</code></pre>
","-1","286161"
"<p>okay, thx a lot
now i use sth like this:</p>

<pre><code>public static String[] removeElements(String[] input, String deleteMe) {
    if (input != null) {
        List&lt;String&gt; list = new ArrayList&lt;String&gt;(Arrays.asList(input));
        for (int i = 0; i &lt; list.size(); i++) {
            if (list.get(i).equals(deleteMe)) {
                list.remove(i);
            }
        }
        return list.toArray(new String[0]);
    } else {
        return new String[0];
    }
}
</code></pre>
","2","642897"
"<p>this should do it:</p>

<pre><code>if (arrayList != null &amp;&amp; !arrayList.isEmpty()) {
  T item = arrayList.get(arrayList.size()-1);
}
</code></pre>
","188","687833"
"<p>Do you mean something like this?</p>

<pre><code>import java.util.*; 

public class Test {
    public static void main(String[] args) {
        String[][] data = new String[][] {
            { ""Foo"", ""Bar"" },
            { ""A"", ""B"" }
        };

        String[] flattened = flatten(data);

        for (String x : flattened) {
            System.out.println(x);
        }
    }

    public static &lt;T&gt; T[] flatten(T[][] source) {
        int size = 0;
        for (int i=0; i &lt; source.length; i++) {
            size += source[i].length;
        }

        // Use the first subarray to create the new big one
        T[] ret = Arrays.copyOf(source[0], size);
        int index = source[0].length;
        for (int i=1; i &lt; source.length; i++) {
            System.arraycopy(source[i], 0, ret, index, source[i].length);
            index += source[i].length;
        }
        return ret;
    }

}
</code></pre>

<p>If you want it for primitive types, you'll have to write an overload for each primitive type, but you can use <code>new int[size]</code> instead of <code>Arrays.copyOf</code> at that point.</p>
","2","663632"
"<p>If I remember correctly, the Arrays.sort(...) takes a Comparator&lt;> that it will use to do the sorting.  You can provide an implementation of it that looks at the extension part of the string.</p>
","4","440430"
"<p>You could use commons lang's ArrayUtils.</p>

<pre><code>array = ArrayUtils.removeElement(array, element)
</code></pre>

<p><a href=""http://commons.apache.org/proper/commons-lang/javadocs/api-2.6/org/apache/commons/lang/ArrayUtils.html"" rel=""noreferrer"">commons.apache.org library:Javadocs</a></p>
","247","642897"
"<p>The following is part of the <a href=""http://java.sun.com/javase/6/docs/api/java/util/List.html"" rel=""noreferrer""><code>List</code></a> interface (which ArrayList implements):</p>

<pre><code>E e = list.get(list.size() - 1);
</code></pre>

<p><code>E</code> is the element type. If the list is empty, <code>get</code> throws an <a href=""http://java.sun.com/javase/6/docs/api/java/lang/IndexOutOfBoundsException.html"" rel=""noreferrer""><code>IndexOutOfBoundsException</code></a>. You can find the whole API documentation <a href=""http://java.sun.com/javase/6/docs/api/"" rel=""noreferrer"">here</a>.</p>
","728","687833"
"<p>The <code>size()</code> method returns the number of elements in the ArrayList.  The index values of the elements are <code>0</code> through <code>(size()-1)</code>, so you would use <code>myArrayList.get(myArrayList.size()-1)</code> to retrieve the last element.</p>
","11","687833"
"<p>The best choice would be to use a collection, but if that is out for some reason, use <a href=""https://docs.oracle.com/javase/7/docs/api/java/lang/System.html#arraycopy(java.lang.Object,%20int,%20java.lang.Object,%20int,%20int)"" rel=""nofollow noreferrer""><code>arraycopy</code></a>. You can use it to copy from and to the same array at a slightly different offset.</p>

<p>For example:</p>

<pre><code>public void removeElement(Object[] arr, int removedIdx) {
    System.arraycopy(arr, removedIdx + 1, arr, removedIdx, arr.length - 1 - removedIdx);
}
</code></pre>

<hr>

<p>Edit in response to comment:</p>

<p>It's not another good way, it's really the only acceptable way--any tools that allow this functionality (like Java.ArrayList or the apache utils) will use this method under the covers.  Also, you REALLY should be using ArrayList (or linked list if you delete from the middle a lot) so this shouldn't even be an issue unless you are doing it as homework.</p>

<p>To allocate a collection (creates a new array), then delete an element (which the collection will do using arraycopy) then call toArray on it (creates a SECOND new array) for every delete brings us to the point where it's not an optimizing issue, it's criminally bad programming.</p>

<p>Suppose you had an array taking up, say, 100mb of ram. Now  you want to iterate over it and delete 20 elements.</p>

<p>Give it a try...  </p>

<p>I know you ASSUME that it's not going to be that big, or that if you were deleting that many at once you'd code it differently, but I've fixed an awful lot of code where someone made assumptions like that.</p>
","41","642897"
"<p>Probably because they wanted to get as close as possible to making everything an object. Native types are there for backward compatibility.</p>
","1","2009210"
"<p>You can implement a custom <a href=""http://java.sun.com/javase/6/docs/api/java/util/Comparator.html"" rel=""nofollow noreferrer"">Comparator</a> of Strings.  Make it sort them by the substring after the last index of <code>'.'</code>.  Then pass in the comparator and your array into </p>

<pre><code>Arrays.sort(stringArray, yourComparator);

//  An implementation of the compare method
public int compare(String o1, String o2) {
    return o1.substring(o1.lastIndexOf('.')).compareTo(o2.substring(o2.lastIndexOf('.'));
}
</code></pre>
","3","440430"
"<p>Use <a href=""http://java.sun.com/j2se/1.5.0/docs/api/java/util/Collection.html#containsAll(java.util.Collection)"" rel=""noreferrer"">Collection.containsAll()</a>:</p>

<pre><code>boolean isSubset = listA.containsAll(listB);
</code></pre>
","42","808394"
"<p>Your question isn't very clear. From your own answer, I can tell better what you are trying to do:</p>

<pre><code>public static String[] removeElements(String[] input, String deleteMe) {
    List result = new LinkedList();

    for(String item : input)
        if(!deleteMe.equals(item))
            result.add(item);

    return result.toArray(input);
}
</code></pre>

<p>NB: This is untested. Error checking is left as an exercise to the reader (I'd throw IllegalArgumentException if either input or deleteMe is null; an empty list on null list input doesn't make sense. Removing null Strings from the array might make sense, but I'll leave that as an exercise too; currently, it will throw an NPE when it tries to call equals on deleteMe if deleteMe is null.)</p>

<p>Choices I made here:</p>

<p>I used a LinkedList. Iteration should be just as fast, and you avoid any resizes, or allocating too big of a list if you end up deleting lots of elements. You could use an ArrayList, and set the initial size to the length of input. It likely wouldn't make much of a difference.</p>
","47","642897"
"<p>You'd have to write your own implementation of <code>Iterable&lt;Boolean&gt;</code> which took an array of bytes, and then created <code>Iterator&lt;Boolean&gt;</code> values which remembered the current index into the byte array <em>and</em> the current index within the current byte. Then a utility method like this would come in handy:</p>

<pre><code>private static Boolean isBitSet(byte b, int bit)
{
    return (b &amp; (1 &lt;&lt; bit)) != 0;
}
</code></pre>

<p>(where <code>bit</code> ranges from 0 to 7). Each time <code>next()</code> was called you'd have to increment your bit index within the current byte, and increment the byte index within byte array if you reached ""the 9th bit"".</p>

<p>It's not really <em>hard</em> - but a bit of a pain. Let me know if you'd like a sample implementation...</p>
","43","1034473"
"<p>Create a Comparator and compare the string extensions. Take a look at the following</p>

<p><a href=""http://java.sun.com/j2se/1.4.2/docs/api/java/util/Comparator.html"" rel=""nofollow noreferrer"">http://java.sun.com/j2se/1.4.2/docs/api/java/util/Comparator.html</a></p>

<p>Then pass in your List of strings to Arrays.sort(List, Comparator)</p>
","1","440430"
"<p>Because the Java Language Specification <a href=""http://java.sun.com/docs/books/jls/third_edition/html/arrays.html"" rel=""noreferrer"">says so</a> :) </p>

<blockquote>
  <p>In the Java programming language arrays are objects (§4.3.1), are dynamically created, and may be assigned to variables of type Object (§4.3.2). All methods of class Object may be invoked on an array.</p>
</blockquote>

<p>So, unlike C++, Java provides true arrays as first-class objects: </p>

<ul>
<li>There is a <code>length</code> member. </li>
<li>There is a <code>clone()</code> method which overrides the method of the same name in class <code>Object</code>.</li>
<li>Plus all the members of the class <code>Object</code>.</li>
<li>An exception is thrown if you attempt to access an array out of bounds.</li>
<li>Arrays are instanciated in dynamic memory.</li>
</ul>
","9","2009210"
"<p>Create your own <a href=""http://java.sun.com/j2se/1.4.2/docs/api/java/util/Comparator.html"" rel=""nofollow noreferrer"">Comparator</a> that treats the strings as filenames and compares them based on the extensions.  Then use <a href=""http://java.sun.com/j2se/1.4.2/docs/api/java/util/Arrays.html"" rel=""nofollow noreferrer"">Arrays.sort</a> with the Comparator argument.</p>
","1","440430"
"<p>You could use the <a href=""http://commons.apache.org/lang/api-release/org/apache/commons/lang3/ArrayUtils.html"" rel=""nofollow noreferrer"">ArrayUtils API</a> to remove it in a ""nice looking way"". It implements many operations (remove, find, add, contains,etc) on Arrays.<br>
Take a look. It has made my life simpler.</p>
","4","642897"
"<p>There is a containsAll method in all collections.</p>
","2","808394"
"<p>You can iterate through the byte array, and for each byte use the bitwise operators to iterate though its bits.</p>
","0","1034473"
"<p>This can only be done when the types of both key and value are the same.</p>

<p>Given:   </p>

<pre><code>HashMap&lt;String,String&gt; map;
</code></pre>

<p>I can create an array from this map with this simple loop:</p>

<pre><code>String[][] array = new String[map.size()][2];
int count = 0;
for(Map.Entry&lt;String,String&gt; entry : map.entrySet()){
    array[count][0] = entry.getKey();
    array[count][1] = entry.getValue();
    count++;
}
</code></pre>
","8","2265266"
"<p>Yes, you can access an array component directly.</p>

<p>For example:</p>

<pre><code>String[] test = new String[] { ""first"", ""second"" };
System.out.println(test[1]); // Prints second
</code></pre>

<p>(EDIT: For some reason I was sure this was about JavaScript not Java. Bizarre.)</p>
","3","705288"
"<p>Original:</p>

<pre><code>for (int i = 0; i &lt; byteArray.Length; i++)
{
   byte b = byteArray[i];
   byte mask = 0x01;
   for (int j = 0; j &lt; 8; j++)
   {
      bool value = b &amp; mask;
      mask &lt;&lt; 1;
   }
}
</code></pre>

<p>Or using Java idioms</p>

<pre><code>for (byte b : byteArray ) {
  for ( int mask = 0x01; mask != 0x100; mask &lt;&lt;= 1 ) {
      boolean value = ( b &amp; mask ) != 0;
  }
}
</code></pre>
","9","1034473"
"<p>Surely you can use args[1] too.</p>
","1","705288"
